ip_address,domain,malware_hash,threat_type,description,label
47.46.14.109,tnm4wljybw056p4p1rz.buzz,,data_exfiltration,Ransomware dropper detected in email attachment,1
,,,command_and_control,,0
,,c8ddc99ff1d8c1bf97188e3a702bf63b35cc1eb3fe2ac3a696b0adeff3463cc5,ransomware,,0
,,,other,,1
154.148.216.234,1akc83e.cn,,ransomware,Domain hosting exploit kit distributing malware,1
100.18.141.37,wjfc8rbc0havhhqp1.ru,525939e72a31275979dca07ec9a40181f25e0857ae5703ecec709be61fb740da,brute_force,Data exfiltration via DNS tunnelling detected,1
227.177.186.113,,,other,,0
,,,other,just checking,0
160.118.10.244,sfivn2q3n.top,9f75c7d99b3f85fbefb25811a2d0e781,brute_force,Phishing email targeting employees with fake login page,1
,,,brute_force,,0
55.111.179.159,,,phishing,not sure,0
242.7.25.69,,a82039bab3701dec870500694210e283096657c904f3c629664c019683fb28ae,denial_of_service,,1
146.129.72.195,,,denial_of_service,,0
,,,brute_force,unknown,0
50.114.187.114,,,command_and_control,,1
,,,ransomware,n/a,0
145.230.210.20,6callu9sh2qjsgv.ru,e65fb63e897632218cf31e7d83602f6a,command_and_control,Botnet command-and-control beacon every 60 seconds,1
,,,brute_force,,0
,,df2fd65d246884344f22216cee70a1ac84e44fd74d46ca3d89222fea3dd57875,ransomware,n/a,0
139.255.114.17,,,denial_of_service,Ransomware dropper detected in email attachment,1
,,55ab6caf0b2bd317f13063d0d1de8027,other,just checking,0
,,,phishing,,0
,qpuq94gmgo.gov,,ransomware,,0
,,,phishing,,0
,t0pc67kyc.tk,,data_exfiltration,Suspicious outbound traffic to known C2 server,1
197.40.67.142,5tie5f.cc,,phishing,Suspicious outbound traffic to known C2 server,1
94.27.93.200,,,brute_force,,0
29.123.236.82,,,denial_of_service,Brute force SSH attempts from this IP,1
217.87.172.136,fu35qs6o2yk6i2y.buzz,,ransomware,Brute force SSH attempts from this IP,1
185.141.184.154,,c792bd7833bde7124c29c4c582151ae3e92263e6de1ebccc9d72cb8e4afd7e7b,brute_force,Botnet command-and-control beacon every 60 seconds,1
54.229.197.202,0ypi.net,,command_and_control,,0
,,c2fae2354482eddddea33c08d06be605,malware,,0
,n0fy.cn,,malware,Ransomware dropper detected in email attachment,1
51.81.1.123,rgmhj0.xyz,817db1b60d0946a1fb302d9f2759298b4c3a164cf5aae8d1aa1fdac3b244af9a,data_exfiltration,Drive-by download serving banking trojan,1
,,6ba34369b5899ba550b32ba8d3dbc84266672bc067f95281c73aa343e4853c5d,command_and_control,,0
143.85.200.128,,,phishing,Ransomware dropper detected in email attachment,1
,,,denial_of_service,Botnet command-and-control beacon every 60 seconds,1
,lk3v8m7w.org,,phishing,,0
,22ac5iz70.xyz,,phishing,Domain hosting exploit kit distributing malware,1
,,,brute_force,,0
152.207.13.235,gnhjbv95inae.ru,,command_and_control,Brute force SSH attempts from this IP,1
38.31.144.204,,,command_and_control,Credential harvesting page impersonating corporate SSO,1
102.249.209.95,,,denial_of_service,,0
172.207.246.143,l7g3g56xfnjbyjrx.cn,9a5226d10260058e8778f075e9cd5a609d8d58ebba2187ed7219a20f995654ea,phishing,Data exfiltration via DNS tunnelling detected,1
19.23.181.96,cw5sgvce0zfdp9pwbrvn.cc,,phishing,Data exfiltration via DNS tunnelling detected,1
,2ukk.cc,,brute_force,Data exfiltration via DNS tunnelling detected,1
,,,malware,,0
,cuhjq7.top,,other,Drive-by download serving banking trojan,1
,,,brute_force,,0
,,,other,,0
,,,command_and_control,Phishing email targeting employees with fake login page,1
,,,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
,,,brute_force,123,0
143.158.88.158,1sor3o2e7mkpo8i.ru,03dffe7ddb674d553c4bf09d9028a4290ec2b2afe110bf125bd45e2ca91bd299,phishing,Suspicious outbound traffic to known C2 server,1
,,,denial_of_service,,0
99.204.129.249,alwlmig5ch6fd1.cn,,phishing,Brute force SSH attempts from this IP,1
181.87.26.90,,,brute_force,Phishing email targeting employees with fake login page,1
211.47.54.126,,,ransomware,Data exfiltration via DNS tunnelling detected,1
80.249.102.111,n7j2qvte9xtk.top,,malware,Ransomware dropper detected in email attachment,1
,kvpddoeiz4vj.org,,other,,0
208.14.97.110,,,brute_force,,0
,,,command_and_control,test,0
189.16.172.83,,8e923fa6d3cea0fccb4df11d7ce5693463217b89a6ba68062d700c30f4623a7a,malware,Domain hosting exploit kit distributing malware,1
183.236.51.167,p6s197a7cjg.xyz,0f5555136cc895cbeb2e1d393392b99ad72db49ee333769de74214eb6138be08,other,Ransomware dropper detected in email attachment,1
127.188.226.217,,48e51f15312990e1a160f32d546cd5a59a4c77ebee4848311c01fa7a9c25e16f,other,Domain hosting exploit kit distributing malware,1
2.203.25.147,kbs3f2nwdrfmz8jbmz.tk,17be0c4b783005d6f271f16e55fc39fce4e00db50f39338499661d297928db86,malware,Domain hosting exploit kit distributing malware,1
,,,command_and_control,,0
,,,denial_of_service,ignore this,0
,,,phishing,,0
,oq1p02mp4i1f483i2.net,,malware,just checking,0
66.54.125.51,6vkly6s1huzd5t99i.top,,ransomware,Phishing email targeting employees with fake login page,1
204.14.129.47,,b3f1fd6a64d2966776301074035b921d,command_and_control,Ransomware dropper detected in email attachment,1
,yobmrxpzo.cc,,other,Botnet command-and-control beacon every 60 seconds,1
225.17.104.156,sxtiftb9crtk81ko.cn,,malware,Malicious macro in Office document,1
,hkwds1hphhqfrbsnhn.edu,,command_and_control,,0
,,cfeb83ba6b80ea70c88a3743f0d56ccf,other,,0
,,,brute_force,,0
67.221.16.220,,,malware,Drive-by download serving banking trojan,1
83.62.196.152,,2d8360ecad9bb9819214f23cd0f03d9b623eedf57588a0e8a594cc274211c5a6,data_exfiltration,Suspicious outbound traffic to known C2 server,1
,,,ransomware,hello world,0
,cevd8kscnwu56.cc,,brute_force,Botnet command-and-control beacon every 60 seconds,1
112.142.7.120,,,phishing,Suspicious outbound traffic to known C2 server,1
,,,command_and_control,ignore this,0
,wmyj.tk,,ransomware,Data exfiltration via DNS tunnelling detected,1
,,,data_exfiltration,,0
217.198.156.220,,9609886221ab1ee01416951720d92ad53a938a2142288bf92f1670199a5da9cc,malware,,1
,,adfa2531b007a826c66710013a65d483ce53211d549bcfbb0525207c682a6e70,ransomware,Credential harvesting page impersonating corporate SSO,1
123.211.42.74,19x6756nndpol3db1vhk.cn,0152b2aa03db2b36fa5d9e2cf30944d1bcb919243d27319dd2afbebfe3531591,data_exfiltration,,1
,,,phishing,n/a,0
41.53.161.101,qbzwxugd.top,ae22a53c2461f1dbfd78cfe96d13a75d37147bd42df84698a0696981df1fa546,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
,qwueex0.net,,other,,0
,,,brute_force,Malicious macro in Office document,1
,ra5y01.ru,,denial_of_service,Credential harvesting page impersonating corporate SSO,1
192.85.137.84,2q7yndej6hh7yn.ru,1fc224eb718a8ee526848360e69d6bdb0cc67d8787c08762f91d0eca376af6ed,other,Suspicious outbound traffic to known C2 server,1
17.38.246.75,,,denial_of_service,unknown,0
,,,other,n/a,0
,,,malware,Domain hosting exploit kit distributing malware,1
221.254.121.149,,,other,Domain hosting exploit kit distributing malware,1
,,,command_and_control,,0
102.226.236.104,,,brute_force,Brute force SSH attempts from this IP,1
79.173.240.131,c8lfqv.tk,,brute_force,Botnet command-and-control beacon every 60 seconds,1
,,,ransomware,Botnet command-and-control beacon every 60 seconds,1
120.24.76.29,,bca0e8d81d2b91553a17aab23dc0f6e4,denial_of_service,Domain hosting exploit kit distributing malware,1
181.165.114.164,oxqd1cgmnyqbc6b4p.cc,,malware,Suspicious outbound traffic to known C2 server,1
248.159.236.242,3jgtskkea.ru,b32c2f3e51ef47673f8cd6e77e9983d0bab7e57611fff4945979df18e5061d29,other,Phishing email targeting employees with fake login page,1
,4nh6gqne686dw3.ru,a34c6d917e9a09c3b62b059fded8dd8f3aeb6e9d4eeada94c6af5cc4755b3e80,other,,1
106.218.204.212,,,other,,0
108.31.82.154,24n7.tk,ea09cf159b2c237b6a8e828604e2d5857808d8feecc314504936471f12bac7f7,phishing,Credential harvesting page impersonating corporate SSO,1
39.20.48.181,,,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
,,76d81a02a426f909ab43c31c176fab5ef14f8ec28d4d2d1cc230a9be41825085,data_exfiltration,,1
,rx5qfar.xyz,,data_exfiltration,Domain hosting exploit kit distributing malware,1
,cogmsefduqhxn3yrndp.gov,,denial_of_service,,0
,,,other,unknown,0
217.88.210.253,,7e83801b7cef8460d33d5864641860afb2d396066dc29ae83047f07032bc1f2a,phishing,Malicious macro in Office document,1
223.247.21.60,,,denial_of_service,,0
245.217.42.107,up58g7ya.cn,b33694951f4ada054de69dcadafdfc08,denial_of_service,Data exfiltration via DNS tunnelling detected,1
179.20.241.26,,,denial_of_service,Data exfiltration via DNS tunnelling detected,1
,,1d9b14750e988942a791baa8ccc0949b,data_exfiltration,,0
,,,command_and_control,just checking,0
,,,phishing,,0
,0nlsliwvj7j5rtu0gmp.tk,,other,,1
,,,other,,0
,184uuazomi.org,,ransomware,,0
157.94.122.91,hyt1kukf1e3j.buzz,095bef87a1eaf2bce4219eb404dd86a8fb989246efeb6bddaef0139f266a9e29,command_and_control,Botnet command-and-control beacon every 60 seconds,1
,1ja8627cc27rcm.org,,phishing,,0
,aan07v099clqhc.top,632842d0e17f5d7af75cc1fdebc7f3d0,data_exfiltration,Malicious macro in Office document,1
229.250.81.73,r2bp99l97jtqzjuy3e.buzz,93fdf6156cf88c7302dd0efa6e5688f4,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
1.222.37.169,wcar1dw.tk,,command_and_control,Domain hosting exploit kit distributing malware,1
252.89.12.238,,,ransomware,,0
,,,malware,123,0
,,,ransomware,,0
167.221.33.237,5hde.buzz,71a3aa9e2a4cd2165a980fd2f4c7d0a2d68c04dbca4098103df215203c62bd3b,other,Malicious macro in Office document,1
,,,malware,,1
129.46.124.7,,b369ac72496857be4f973db141c3135f,phishing,Phishing email targeting employees with fake login page,1
,mhw85inhrf2md54n8jfa.buzz,1e23367a4e78e1f774157384d3dea7cd,other,Brute force SSH attempts from this IP,1
121.13.74.150,,,other,Credential harvesting page impersonating corporate SSO,1
97.227.190.58,,d6ec4573ebb831d142723b63c58bb4c4bc1d70f7dcd2c27e810f430d8700d218,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
121.31.129.180,87ssz.xyz,,other,Brute force SSH attempts from this IP,1
,d4v9n6tdqulj2ed.xyz,61d4fd653a363a7fb4a833f4943d182f,other,Suspicious outbound traffic to known C2 server,1
,5rswfxlbc3lrqpb8sh.tk,bb5e5408fd30cf4e15d7b927471efec8,malware,Drive-by download serving banking trojan,1
,y32kwqkf5on.cn,917727199230de6a36b19b160b2161db63e927b6a24521999580a102deb478e9,denial_of_service,Brute force SSH attempts from this IP,1
159.101.70.39,,,brute_force,,0
181.238.235.141,6s33b2lcf.cn,230bc4781de0644c6e517217bb1252b038096ef494bcf8dd06385dbfbd9b320f,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
120.48.64.51,3lpqh1xt7c1qtw.top,,malware,Ransomware dropper detected in email attachment,1
153.96.42.134,,,malware,n/a,0
,,,command_and_control,Domain hosting exploit kit distributing malware,1
,7wj4nmkr3jgtpdkdjpx.cn,,denial_of_service,Malicious macro in Office document,1
167.167.106.56,,,data_exfiltration,Domain hosting exploit kit distributing malware,1
,,,denial_of_service,,0
228.6.67.27,,,denial_of_service,Phishing email targeting employees with fake login page,1
226.108.218.158,,5152e99b4b8cf7516cd15cdb4ce7c2a8b08de6ce3b0d880c93b87a8054d9aa22,denial_of_service,Malicious macro in Office document,1
,,,denial_of_service,asdf,0
220.185.109.199,,,other,,0
45.133.192.108,8loye.xyz,615df6fc0b61c21fd8032812c3027db2c0eb4beadf4b06bae16d6439393f142b,ransomware,Credential harvesting page impersonating corporate SSO,1
,,,command_and_control,,0
,86biofssd488cn.com,,ransomware,,0
,kdawgce6ys4.ru,44ff1367bc080a64ae75f0d40e72eb70,other,Drive-by download serving banking trojan,1
,3rdw5os4u.top,,denial_of_service,Data exfiltration via DNS tunnelling detected,1
,,,other,unknown,0
218.31.62.78,,1fd499e7d579941b8c5975f2aeb0e11dfea16f0f3057952dd8d3e6250bfd82bf,malware,Ransomware dropper detected in email attachment,1
,vq27ouaml3g.cc,,denial_of_service,Domain hosting exploit kit distributing malware,1
79.121.148.176,7ysdiw8g7144nt.xyz,,ransomware,Data exfiltration via DNS tunnelling detected,1
73.40.1.92,y8n8k5xoixdvc76.buzz,7a4dec95a3faf1bdcc75dcc72d3d4497,denial_of_service,Phishing email targeting employees with fake login page,1
,,,brute_force,unknown,0
81.67.157.118,,,brute_force,Data exfiltration via DNS tunnelling detected,1
169.246.55.112,qi29z1s10vjdg2tdkpu5.cc,,phishing,Domain hosting exploit kit distributing malware,1
,,,brute_force,Phishing email targeting employees with fake login page,1
40.7.78.60,0ha9o35nnay.tk,,data_exfiltration,Phishing email targeting employees with fake login page,1
220.10.41.95,,,brute_force,,0
,9epk2v1oz.tk,e7b177fe3a8662268368e8df7e42f4cc2b92b1c3ec7e2eab8c4a0f91e7aaf833,phishing,Data exfiltration via DNS tunnelling detected,1
,,,phishing,,0
106.4.80.186,hzj8xreusk.top,,data_exfiltration,Domain hosting exploit kit distributing malware,1
13.64.50.202,,e581961d65eca3d2f3a0120c5b02b08d,ransomware,n/a,0
,,,brute_force,,0
,,,command_and_control,unknown,0
160.213.240.7,nyfmm.cc,e8449dd9dd554e08ca3fe0aadd2b7244dee80a6886500adafbd32547195f5cee,data_exfiltration,Domain hosting exploit kit distributing malware,1
168.247.195.3,,,denial_of_service,,1
,,6fe0c9e28e699ff1a2fb24a5428e56aa15290b2e7150e05f970df4c7d7943dd0,data_exfiltration,Ransomware dropper detected in email attachment,1
,,b077cec8260d8de07d3e0271479d7f1c,data_exfiltration,Brute force SSH attempts from this IP,1
72.187.185.211,ruwdfdxm5.xyz,,phishing,Data exfiltration via DNS tunnelling detected,1
98.208.195.56,,,data_exfiltration,Suspicious outbound traffic to known C2 server,1
,,,command_and_control,,0
,,,malware,test,0
,73xz.edu,87291e65e991754297932f45c5e7d989192a31acbed6ca450726e31cfff044f6,denial_of_service,,0
253.232.119.149,,,data_exfiltration,Phishing email targeting employees with fake login page,1
40.124.129.63,ew5httm2s1s9obut4xu.top,,other,Credential harvesting page impersonating corporate SSO,1
40.251.52.39,,,malware,,0
23.165.244.252,zx7sj0eu74cn3v.ru,2201b757fae091a4563ea1e8174bce39,command_and_control,Malicious macro in Office document,1
23.69.29.83,3uy057gvcaosn0te592h.tk,,command_and_control,Credential harvesting page impersonating corporate SSO,1
,,,denial_of_service,Brute force SSH attempts from this IP,1
,tw9bs79qys54q.tk,7dd72e6953ad919127ab47b6002c724b03eba5fc5018cbd8ed0554311d7886b0,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
21.123.43.166,7h2d70uco8yg262r.top,,malware,Phishing email targeting employees with fake login page,1
,,921cc026bdbc13a667858115ba20e73a75cfa63923713a19430b4994c02c4f79,denial_of_service,,0
,,,phishing,,0
242.209.140.239,drpc2brdpznamou.top,,ransomware,,1
201.179.71.242,ffgmxr.cn,fa191a868323add03ba47a6d57632044,denial_of_service,Malicious macro in Office document,1
94.170.168.7,u4uotynq6l6fvrg02ez.ru,,phishing,Ransomware dropper detected in email attachment,1
228.162.157.91,,c3968c75b99aa560837cb17ca0b0c523,denial_of_service,Drive-by download serving banking trojan,1
172.69.92.158,8gnjuqzq6ci7j9thq.xyz,7affeb96db31c1db2cd0dd7e1ced9046,brute_force,Domain hosting exploit kit distributing malware,1
,l2vby.xyz,59b862239cf6ad7e782285ea5a5dfdba3c2fa7654a9fffd2d3b3880f46410cf9,other,Malicious macro in Office document,1
3.195.33.164,jaqu4wfz8wmezk5v.top,bf648bc90653eaa54b1a272542c283f4,denial_of_service,Brute force SSH attempts from this IP,1
,,db3809a27f57d6decb2f213b1498429c8ebcd3444e99f19a83f95518016a8514,phishing,asdf,0
,,78126571f61a4c82edecdaaf3d75b55f,phishing,ignore this,0
,,,malware,,0
52.7.172.136,,,malware,123,0
,,,other,ignore this,0
,vvvtco6h1z43ebsfrv.xyz,,denial_of_service,Data exfiltration via DNS tunnelling detected,1
120.223.200.237,pay5g.ru,,phishing,Credential harvesting page impersonating corporate SSO,1
,,,data_exfiltration,,0
,,,malware,,0
,,,denial_of_service,Brute force SSH attempts from this IP,1
96.133.223.48,6tg1zvgxg7.org,bb1439ba79beb0d372b0596c43462c21,ransomware,,0
,,,brute_force,unknown,0
,erkb0tqhk964wpx.top,,malware,Domain hosting exploit kit distributing malware,1
227.238.62.109,,,denial_of_service,123,0
25.106.115.34,oqvi9c4r57.cn,936676ee37c6090ab8371567a01b829989a8db31391aff67904e72e8234c8436,denial_of_service,Phishing email targeting employees with fake login page,1
239.218.120.71,rx9n7bfseloh8n.cn,a5e6f4bcb025487c9f13a55517b0ed931e32899433e72a4bc1faf8c298d01774,denial_of_service,Suspicious outbound traffic to known C2 server,1
105.151.169.101,jlvgrnakl66siz.gov,,brute_force,test,0
,,4fc9de245182a28b93115f17db63bef74f937a0a27ddf460eb1b9577c4985a7a,brute_force,Phishing email targeting employees with fake login page,1
,y0ox1dpcti3rp27.top,026866876691f23f424f4eb4827809b6,ransomware,Ransomware dropper detected in email attachment,1
107.7.51.147,9tkdt7cpjcn2o58t3j.ru,510971203c4fada1764541a9c14e2dc679591768c5c2a030091d327ded270e4f,data_exfiltration,,1
,,,other,,0
71.46.254.80,azkj9z9ns1g84tmna6.buzz,d11953366f6e2e41daa2c112944b4183,command_and_control,Credential harvesting page impersonating corporate SSO,1
,,c05096f19a4c32bb5e48a3735ad914c5,command_and_control,,0
,,,phishing,,0
143.99.141.186,4akv6sdf.cn,,brute_force,Phishing email targeting employees with fake login page,1
170.41.11.115,52p26c25ky4g34.ru,,phishing,Ransomware dropper detected in email attachment,1
,mer9p0sly0.xyz,,data_exfiltration,Malicious macro in Office document,1
65.66.225.225,,,ransomware,,0
2.230.79.142,,,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
,pquhex6.ru,d7d5d34c18080240e23926cb627ab52600b56ba46f7e6d25acd62cbc94bb54d6,denial_of_service,,1
,giikv2tuyetdzziiw.edu,,other,,0
226.27.122.119,,8d2aebb6ce75f784c099dc5e4187f555,data_exfiltration,Domain hosting exploit kit distributing malware,1
83.165.94.210,,,ransomware,,0
,,,command_and_control,,0
66.198.236.170,5j5bpv5wrv.xyz,8d18bca28ffb23c6e5650f5257bc7bc7ccfb459e005b935f4be47bd7befe3c62,command_and_control,Data exfiltration via DNS tunnelling detected,1
,,,ransomware,,0
179.30.220.179,2gpzpj.xyz,,malware,,1
,,,command_and_control,,0
10.191.143.201,,1cb657e2eb139e64fc91b59d0e9a7399205ae3ba99087a3915b205f44c2e1618,denial_of_service,Data exfiltration via DNS tunnelling detected,1
195.182.82.194,,4b19827ec32d191b4be88a7b25daa5e0,malware,Botnet command-and-control beacon every 60 seconds,1
167.141.160.240,,,phishing,just checking,0
72.119.87.56,715w0wpn.buzz,,denial_of_service,Drive-by download serving banking trojan,1
,,,ransomware,asdf,0
121.242.174.241,8uudyubc.ru,96daee7eaa588da70d578f1f6f56aaf587d2fea9a04fae27d27430409094cbb0,other,Malicious macro in Office document,1
,km23diyi1fuf.top,,ransomware,Suspicious outbound traffic to known C2 server,1
228.20.245.11,,,command_and_control,,0
119.24.46.118,99ha5or7l77hr5jicg49.cn,,malware,Ransomware dropper detected in email attachment,1
,,,ransomware,ignore this,0
,,,denial_of_service,123,0
,,dcbe5edb203fe1aa3773b87d3d77bbff,ransomware,Ransomware dropper detected in email attachment,1
,,5d4139324678b527ed5058312967e692,ransomware,just checking,0
32.244.144.9,,,data_exfiltration,123,0
,,,brute_force,Data exfiltration via DNS tunnelling detected,1
44.135.211.227,,,denial_of_service,ignore this,0
8.128.227.14,,,other,Brute force SSH attempts from this IP,1
,,,brute_force,,0
126.162.147.149,c1o8rsxkuv1.cn,bfcb41135d0499e9bb9d98d110110ef9639ad76c76e6e0c1e77e5829e060b7b3,brute_force,Data exfiltration via DNS tunnelling detected,1
223.208.217.144,,1758ab22c49abb19ad17df626265624fbefe8d37e68e9b7372705f62acc36529,other,Botnet command-and-control beacon every 60 seconds,1
177.173.83.202,,443ac3fb5b5d00840339fcd4ca66f50f,command_and_control,Malicious macro in Office document,1
124.3.151.85,sit71nohwh.cn,596e68341d0a27dee798d071af7fbdfc70448aea428cceedeac97043ffd178b2,brute_force,Data exfiltration via DNS tunnelling detected,1
138.185.45.241,,7bbb989d703c10d537c6eb6b2e2e0ac9,phishing,Drive-by download serving banking trojan,1
31.160.24.187,,a8c8103d3708bc2ded4678ad91229a43,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
19.231.72.18,s4a3h7jxbz.ru,b1e461bfe9bb2c5b8462e8aa0181ef8796aac4ba8f314ec117f18fddc068075c,phishing,Drive-by download serving banking trojan,1
188.13.129.152,,04647fc7216b5d0e259cdc79dd01dec3,brute_force,Domain hosting exploit kit distributing malware,1
,cbk3.gov,57cf11860ccb76bf5f67552a31644a83c4340a08167a20e92f8d47d78aaa8680,ransomware,,0
,,,command_and_control,not sure,0
,,,command_and_control,,1
16.221.128.133,3b9fz5itmlp92.xyz,d02a0520d49572e0a8c51c4015808f96,other,Data exfiltration via DNS tunnelling detected,1
120.22.129.59,podkbao6ujok18a1q.xyz,162c08a1533c341c9e8fdde5f0f883b8378973f18a53fde55f42d7b145c66d7b,denial_of_service,Drive-by download serving banking trojan,1
121.197.228.167,,,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
18.195.9.217,,,ransomware,hello world,0
62.171.77.152,l8vdkuiqv1pr.cc,,ransomware,Phishing email targeting employees with fake login page,1
55.40.217.51,,01d01fb965c7de95f0608c67231facff9832dd2a3f0e65e85d75607b172221be,command_and_control,Suspicious outbound traffic to known C2 server,1
,,,malware,,0
186.134.192.244,,,brute_force,123,0
,rhbza5.gov,c6d3e5dd859e5aa18d7dcae6064c7e43bb9d04465dd7cc86c6f5df6bdb344e00,command_and_control,,0
73.114.44.212,,0c89d965d1ca04ae5b697386e9c16d9f88a308098a4f8971b2ce8a8d3ff35db8,brute_force,Suspicious outbound traffic to known C2 server,1
160.24.23.251,6i8zw4j9l66.xyz,17b0b4f0f0a03fd867b97622531f415496cb7363d1248f3c4027f3d8de784c39,malware,Brute force SSH attempts from this IP,1
,,ca8113b71e818e5f0b3bbbe52e5cdceb782d8fbab8fc57201baa620d54f576ee,brute_force,Brute force SSH attempts from this IP,1
240.107.47.10,bc8f69j4asfj2b5y.tk,,data_exfiltration,Drive-by download serving banking trojan,1
,,2fc622a9eb80c3f6c0810e393604521e88b3ceacbb8be36a3e2d0e19c424174a,brute_force,,0
,,,other,Malicious macro in Office document,1
,,,phishing,hello world,0
,,,ransomware,n/a,0
71.104.252.250,cod66sj26dhxcu6e0n.cn,a38b80c6c3e0364eea0bd34fa0fd5ccac73d56be9f92e242f5cc8ac2477af230,other,Data exfiltration via DNS tunnelling detected,1
,,efb4ebb319d22cffe342ed373f8df399d9cda3bc434ff958bd4df1ce7c2067b7,ransomware,Botnet command-and-control beacon every 60 seconds,1
224.147.49.165,,,brute_force,,1
,bugny7wxwfcorvdgm.cn,,phishing,Botnet command-and-control beacon every 60 seconds,1
37.203.178.217,84ytkagoscpi60.cc,,command_and_control,Drive-by download serving banking trojan,1
,,,other,,0
66.65.31.213,o1gfiyyuk2rdj0iaq.tk,c0bbc72c6f6630c11c3129165e021722dae93d4d4c6f3fe2416104e6dd81d16b,ransomware,,1
7.235.245.130,v0z8xvwutvx.xyz,,phishing,Data exfiltration via DNS tunnelling detected,1
214.139.229.206,2dc6.cn,,ransomware,Domain hosting exploit kit distributing malware,1
,ar04.org,3a6b033a85ac271c8254c37cd3a88fcd96b9ca9f47c92d9e7b3907338c657b51,denial_of_service,,0
135.120.159.20,aeb1y5mxdp2k8x6.xyz,78e3a5b1b10e1a4a62b26fb7a58ba041,brute_force,Ransomware dropper detected in email attachment,1
225.29.1.247,,,phishing,Ransomware dropper detected in email attachment,1
40.119.97.206,,,malware,Data exfiltration via DNS tunnelling detected,1
198.100.200.79,,,ransomware,,0
216.74.18.122,,,denial_of_service,Malicious macro in Office document,1
225.70.161.55,1z90gckf280680ghbh.com,,denial_of_service,just checking,0
2.166.58.71,fendz5.buzz,47efb28f547c2e07643008459f0bc5d2,command_and_control,Ransomware dropper detected in email attachment,1
